trial_number,accuracy,inference_ms,param_count,seed,arch_type,num_conv_layers,num_channels,num_fc_units,learning_rate,batch_size,num_epochs,dropout_rate,optimizer_type,input_resolution
68,0.1257,1.3058563999147736,18890.0,110,depthwise_separable,3,32,32,1.0875855381980918e-05,16,5,0.15948781514688065,SGD,16
69,0.4422,1.0426620000725961,38794.0,111,plain,2,32,256,0.0020736445177905022,64,5,0.46537866280178236,SGD,32
70,0.5395,0.6394949999230448,65674.0,112,plain,4,16,64,0.008105016126411584,32,5,0.4609371175115584,Adam,16
71,0.5833,0.6426576000012574,107050.0,113,plain,3,32,96,0.0024234491447023164,64,5,0.49648239805965017,Adam,16
72,0.5377,1.1817946000301163,11610.0,114,depthwise_separable,3,16,96,0.002679683279831466,32,11,0.2507581473435998,SGD,16
73,0.5554,2.1340930000224034,14266.0,115,depthwise_separable,4,16,64,0.008105016126411584,32,11,0.4609371175115584,SGD,16
74,0.5533,3.9244625999926934,320746.0,116,residual,1,128,32,9.076970265355104e-05,32,11,0.22422276098915989,Adam,16
75,0.5772,1.050284000019019,22642.0,117,residual,3,8,64,0.008105016126411584,32,11,0.4609371175115584,Adam,16
76,0.5207,1.1192843999888282,24394.0,118,plain,2,32,64,0.0021450664374153845,64,6,0.3212096391031578,Adam,32
77,0.5923,1.210765600008017,11314.0,119,residual,2,8,224,0.009365164840715298,64,10,0.1210276357557502,Adam,32
78,0.407,1.1166729999531526,21994.0,120,plain,2,32,32,0.0053063715752208465,64,8,0.4520793472468742,Adam,32
79,0.4487,1.2881931999945664,2882.0,121,depthwise_separable,3,8,32,0.008105016126411584,32,8,0.15948781514688065,Adam,16
80,0.3794,1.2919743999809725,9762.0,122,depthwise_separable,3,8,192,0.00034831202446644225,32,13,0.15948781514688065,SGD,16
81,0.3668,1.6302981999906478,2882.0,123,depthwise_separable,3,8,32,9.076970265355104e-05,16,8,0.15948781514688065,Adam,32
82,0.1746,0.3994441999893752,4906.0,124,plain,2,8,128,1.2345274466024455e-05,64,10,0.46537866280178236,SGD,16
83,0.547,0.5748008000155096,18218.0,125,plain,4,8,64,0.0053063715752208465,16,12,0.11862454374840004,Adam,16
84,0.4854,1.3411859999832814,2882.0,126,depthwise_separable,3,8,32,0.008105016126411584,32,11,0.15948781514688065,SGD,32
85,0.5079,0.48048399997787783,10282.0,127,plain,3,8,96,0.00871159598064558,64,5,0.2507581473435998,SGD,16
86,0.4727,1.4503258000913775,107050.0,128,plain,3,32,96,0.008105016126411584,32,5,0.49648239805965017,Adam,32
