trial_number,seed,wall_time_s,accuracy,inference_ms,param_count,arch_type,num_conv_layers,num_channels,num_fc_units,learning_rate,batch_size,num_epochs,dropout_rate,optimizer_type,input_resolution
139,181,10.128,0.903700,1.460222,20826,plain,4,8,128,0.0024315357238851466,128,5,0.3362454049708012,Adam,28
140,182,11.020,0.667100,0.154935,2538,plain,1,8,128,0.0035324262465605233,128,7,0.47437226660165754,SGD,16
141,183,7.499,0.732600,0.163592,11402,plain,1,32,256,0.002847030610552059,256,5,0.46680196817236774,Adam,16
142,184,12.180,0.801600,1.052388,4762,plain,2,8,128,0.002347055463794754,128,7,0.2207342093823386,Adam,28
143,185,12.269,0.704200,0.132629,11402,plain,1,32,256,0.006622545982121681,64,5,0.4076711721710954,SGD,16
144,186,12.104,0.619300,0.131353,5898,plain,1,32,128,0.0011888789621839482,64,5,0.08370363994806126,SGD,16
145,187,12.640,0.913600,1.987202,249866,plain,4,32,64,0.002018298168678082,256,10,0.16794320297942644,SGD,28
146,188,11.985,0.903700,1.493027,276554,plain,4,32,256,0.003977541610941654,256,8,0.47472317665347785,Adam,16
147,189,8.305,0.865300,0.815304,23818,plain,2,32,64,0.0014299625228384899,128,5,0.1334878315459468,Adam,16
148,190,14.007,0.839900,0.203945,8218,plain,2,8,256,0.0055025234568501944,128,9,0.1988750745600322,SGD,16
149,191,22.260,0.743900,0.154499,5898,plain,1,32,128,0.003893673554860431,64,9,0.1430538086093433,Adam,28
150,192,29.025,0.842700,1.066198,28618,plain,2,32,128,0.0016780594698779623,64,10,0.01870627808808989,SGD,28
151,193,11.724,0.639000,0.125829,3658,plain,1,16,128,0.0046111520842147275,256,8,0.24728674630314193,SGD,16
152,194,19.706,0.717100,0.150521,2538,plain,1,8,128,0.004398052443757783,64,8,0.1847029211686469,Adam,16
153,195,18.205,0.644700,0.168133,1930,plain,1,16,64,0.0024174469351053826,64,8,0.20216252663938025,SGD,28
154,196,12.573,0.905700,1.430635,65386,plain,4,16,64,0.0030827512849748964,256,10,0.4619785333997585,SGD,28
155,197,8.595,0.824100,0.211613,3034,plain,2,8,64,0.0020690220421390646,128,5,0.2855808344262407,Adam,16
156,198,13.106,0.713500,0.156666,1322,plain,1,8,64,0.0018151813668763352,256,9,0.14061689191950416,Adam,16
157,199,30.591,0.921800,2.684789,276554,plain,4,32,256,0.005998935851778539,64,9,0.3734828662985428,SGD,28
158,200,11.655,0.715600,0.130735,3658,plain,1,16,128,0.006306523105257695,256,8,0.16650454295878106,Adam,16
159,201,13.345,0.894100,2.049014,18074,plain,4,8,64,0.0036245079794283708,128,7,0.24338202383462515,SGD,28
160,202,24.788,0.899400,1.023738,20826,plain,4,8,128,0.003022105770587287,64,7,0.17042400674871258,Adam,16
161,203,10.211,0.709600,0.777052,7658,plain,2,16,64,0.005455827582985964,256,8,0.13463370043802636,SGD,28
162,204,15.398,0.900700,1.796983,258762,plain,4,32,128,0.0016717762314693249,128,8,0.07388050397197675,Adam,16
163,205,14.520,0.576700,0.162762,3146,plain,1,32,64,0.0028271743487976314,256,10,0.4619785333997585,SGD,16
164,206,6.774,0.911800,2.945315,258762,plain,4,32,128,0.006832078612015625,256,5,0.13606219412556647,Adam,28
165,207,8.203,0.777100,0.596648,3034,plain,2,8,64,0.002724251141708465,128,5,0.08687932613244209,Adam,28
166,208,16.204,0.897900,1.333879,65386,plain,4,16,64,0.002628152264014659,64,5,0.13305741939627097,SGD,28
167,209,7.992,0.764000,0.410926,7658,plain,2,16,64,0.0018124631571516947,128,5,0.2855808344262407,SGD,16
168,210,12.903,0.873500,0.553422,15914,plain,2,16,256,0.004265723568821863,128,8,0.11210889764514514,Adam,16
169,211,21.013,0.671300,0.156465,1322,plain,1,8,64,0.003495980233535095,64,9,0.21813422295069554,Adam,28
170,212,19.577,0.670700,0.184243,3146,plain,1,32,64,0.00422436293845913,64,9,0.14226992472155692,SGD,28
171,213,8.799,0.715400,0.198425,11402,plain,1,32,256,0.0037385230139853954,256,7,0.022455309696164494,Adam,28
172,214,14.252,0.716700,0.128252,3658,plain,1,16,128,0.005298972413572856,128,9,0.48382886236849254,Adam,16
173,215,12.157,0.807800,0.259107,10410,plain,2,16,128,0.00502164591130052,128,8,0.466893086428147,Adam,28
174,216,8.694,0.899400,2.084553,276554,plain,4,32,256,0.006636001571482378,128,5,0.20869686312920702,SGD,16
